"RunNumber","Success","FailureReason","Parameters","OutputDir","NetProfit","ROI","ProfitFactor","TotalTrades","MaxEquityDrawdownPct"
"1","True",,"{""KslLevel"":""Fib0236"",""SignalFilePath"":""Z:\\Desktop\\og_program\\runtime\\exports\\combo_US30_H4_full_history_signals.csv"",""KtpLevel"":""Fib0236""}","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\cli_runs\Combo_US30.cash_h4_20260902-050920","-1510.92","-15.11","0.68","73","23.446646345780437"
"2","True",,"{""KslLevel"":""Fib0236"",""SignalFilePath"":""Z:\\Desktop\\og_program\\runtime\\exports\\combo_US30_H4_full_history_signals.csv"",""KtpLevel"":""Fib0382""}","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\cli_runs\Combo_US30.cash_h4_20260902-051133","-2108.66","-21.09","0.61","73","30.6266717615591"
