Info | CBot instance [Combo, UK100.cash, h1] started.
12/01/2026 13:00:00.508 | Trade | → Placing Stop Order to Buy 4.75 UK100.cash (Price: 10143.3, SL: 10127.6832928027, TP: 10184.18) SUCCEEDED, PendingOrder OID24
12/01/2026 13:00:00.508 | Info | Combo: bartime=2026-01-12 12:00, executed=2026-01-12 13:00:00, pending Buy placed at 10143.3; SL=10127.683292802674, TP=10184.184539442598; valid for the next 3 chart bar(s).
12/01/2026 18:00:00.407 | Trade | Placing Stop Order to Sell 4.82 UK100.cash (Price: 10119.6, SL: 10134.8499866144, TP: 10079.68)
12/01/2026 18:00:00.407 | Trade | → Placing Stop Order to Sell 4.82 UK100.cash (Price: 10119.6, SL: 10134.8499866144, TP: 10079.68) SUCCEEDED, PendingOrder OID27
12/01/2026 18:00:00.407 | Info | Combo: bartime=2026-01-12 17:00, executed=2026-01-12 18:00:00, pending Sell placed at 10119.6; SL=10134.84998661442, TP=10079.67553504345; valid for the next 3 chart bar(s).
12/01/2026 21:00:07.402 | Trade | Cancelling pending order OID27
12/01/2026 21:00:07.402 | Trade | → Cancelling pending order OID27 SUCCEEDED
12/01/2026 21:00:07.402 | Info | Combo: pending order 27 cancelled after 3 chart bars.
13/01/2026 07:00:00.105 | Info | Combo: MARGIN GUARD - order size reduced. Signal wanted 7.51 units, which needs about $7306.61 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4954.68 budget, free margin was $9909.36). Size was cut from 7.51 to 4.99 units. Real risk on this trade is now about $65.80 (0.66% of balance) instead of the requested 1.00%.
13/01/2026 07:00:00.105 | Trade | Placing Stop Order to Sell 4.99 UK100.cash (Price: 10128.1, SL: 10137.8823332622, TP: 10102.49)
13/01/2026 07:00:00.105 | Trade | → Placing Stop Order to Sell 4.99 UK100.cash (Price: 10128.1, SL: 10137.8823332622, TP: 10102.49) SUCCEEDED, PendingOrder OID28
13/01/2026 07:00:00.105 | Info | Combo: bartime=2026-01-13 06:00, executed=2026-01-13 07:00:00, pending Sell placed at 10128.1; SL=10137.882333262241, TP=10102.489851519455; valid for the next 3 chart bar(s).
13/01/2026 10:00:00.198 | Trade | Cancelling pending order OID28
13/01/2026 10:00:00.198 | Trade | → Cancelling pending order OID28 SUCCEEDED
13/01/2026 10:00:00.198 | Info | Combo: pending order 28 cancelled after 3 chart bars.
13/01/2026 12:00:00.102 | Info | Combo: MARGIN GUARD - order size reduced. Signal wanted 5.24 units, which needs about $5098.09 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4954.68 budget, free margin was $9909.36). Size was cut from 5.24 to 4.99 units. Real risk on this trade is now about $94.30 (0.95% of balance) instead of the requested 1.00%.
13/01/2026 12:00:00.102 | Trade | Placing Stop Order to Sell 4.99 UK100.cash (Price: 10124.9, SL: 10138.9196189634, TP: 10088.2)
13/01/2026 12:00:00.102 | Trade | → Placing Stop Order to Sell 4.99 UK100.cash (Price: 10124.9, SL: 10138.9196189634, TP: 10088.2) SUCCEEDED, PendingOrder OID29
13/01/2026 12:00:00.102 | Info | Combo: bartime=2026-01-13 11:00, executed=2026-01-13 12:00:00, pending Sell placed at 10124.9; SL=10138.919618963371, TP=10088.196637553894; valid for the next 3 chart bar(s).
13/01/2026 14:00:00.408 | Info | Combo: bartime=2026-01-13 13:00, Sell signal skipped: already have same-direction exposure open.
14/01/2026 06:00:06.701 | Info | Combo: MARGIN GUARD - order size reduced. Signal wanted 8.52 units, which needs about $8289.25 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4906.76 budget, free margin was $9813.51). Size was cut from 8.52 to 4.94 units. Real risk on this trade is now about $56.84 (0.58% of balance) instead of the requested 1.00%.
14/01/2026 06:00:06.701 | Trade | Placing Stop Order to Sell 4.94 UK100.cash (Price: 10134.8, SL: 10143.3356184753, TP: 10112.45)
14/01/2026 06:00:06.701 | Trade | → Placing Stop Order to Sell 4.94 UK100.cash (Price: 10134.8, SL: 10143.3356184753, TP: 10112.45) SUCCEEDED, PendingOrder OID32
