"RunName","Bot","Symbol","Period","StartDate","EndDate","DataMode","StartingCapital","EndingBalance","NetProfit","ROI","ProfitFactor","TotalTrades","WinningTrades","LosingTrades","WinRatePct","MaxBalanceDrawdownPct","MaxEquityDrawdownPct","Parameters","RunDirectory","ReportJsonPath"
"Combo_UK100.cash_h4_20260902-031916","Combo","UK100.cash","h4","2025-01-01","2025-01-07","tickDataFromServer","10000","9959.97","-40.03","-0.4","0","1","0","1","0","0.40030000000000654","0.4099602338573159","{""SignalFilePath"":""Z:\\Desktop\\og_program\\runtime\\exports\\combo_UK100_H4_full_history_signals.csv"",""KslLevel"":""Fib0618"",""KtpLevel"":""Fib0618"",""RiskPercent"":0.4,""EnableDailyLossLimit"":""false"",""MaxDailyLossPercent"":5,""EnableMaxDrawdown"":""false"",""MaxTotalDrawdownPercent"":10,""EnableMaxConsecutiveLosses"":""false"",""MaxConsecutiveLosses"":5}","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\cli_runs\Combo_UK100.cash_h4_20260902-031916","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\cli_runs\Combo_UK100.cash_h4_20260902-031916\report.json"
"Combo_UK100.cash_h4_20260902-031953","Combo","UK100.cash","h4","2025-01-01","2025-01-07","tickDataFromServer","10000","9950.02","-49.98","-0.5","0","1","0","1","0","0.49979999999999564","0.5118380675938081","{""SignalFilePath"":""Z:\\Desktop\\og_program\\runtime\\exports\\combo_UK100_H4_full_history_signals.csv"",""KslLevel"":""Fib0618"",""KtpLevel"":""Fib0618"",""RiskPercent"":0.5,""EnableDailyLossLimit"":""false"",""MaxDailyLossPercent"":5,""EnableMaxDrawdown"":""false"",""MaxTotalDrawdownPercent"":10,""EnableMaxConsecutiveLosses"":""false"",""MaxConsecutiveLosses"":5}","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\cli_runs\Combo_UK100.cash_h4_20260902-031953","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\cli_runs\Combo_UK100.cash_h4_20260902-031953\report.json"
