bartime,side,atr
2023-01-06 15:00,BUY,13.887434278347998
2023-01-19 11:00,BUY,9.702809933868208
2023-01-31 15:00,BUY,12.579168542173074
2023-02-08 07:00,BUY,9.507886732604655
2023-02-08 15:00,BUY,10.41544750886697
2023-03-22 18:00,BUY,14.858288888560384
2023-03-28 14:00,BUY,11.736057236664607
2023-03-29 14:00,BUY,9.405733148248228
2023-04-03 10:00,BUY,12.071331044360956
2023-04-11 14:00,BUY,9.06841009479377
2023-04-11 22:00,BUY,8.79698246066802
2023-04-20 06:00,BUY,9.335119751113329
2023-04-24 22:00,BUY,9.893643525380943
2023-04-25 14:00,BUY,12.313444387996089
2023-05-01 10:00,BUY,11.429315977238984
2023-05-02 10:00,BUY,8.016594447537324
2023-05-09 10:00,BUY,7.836355719212942
2023-05-15 10:00,BUY,9.426079512286305
2023-06-11 22:00,SELL,7.012626630034159
2023-06-12 10:00,SELL,9.300704834577543
2023-06-12 22:00,SELL,7.3786808753037
2023-06-13 10:00,SELL,10.058764608155485
2023-06-19 06:00,SELL,7.09762950578607
2023-06-27 14:00,SELL,8.665414765005236
2023-07-05 14:00,SELL,6.619757257956258
2023-07-31 10:00,BUY,8.57629642859521
2023-08-28 06:00,SELL,5.299506754288129
2023-09-11 22:00,SELL,4.565821328958517
2023-10-25 10:00,BUY,10.589496718831079
2023-11-03 02:00,BUY,5.91705395574172
2023-11-14 11:00,BUY,9.881443647293374
2023-12-07 07:00,BUY,8.224592132547581
2023-12-07 15:00,BUY,9.98733896483044
2023-12-13 19:00,BUY,14.92170616719497
2023-12-19 11:00,BUY,8.87164307044706
2024-01-02 03:00,BUY,8.424807203476181
2024-01-10 07:00,BUY,9.173114989282936
2024-01-11 03:00,BUY,7.699366319688309
2024-01-11 23:00,BUY,10.960249955635428
2024-01-23 15:00,BUY,8.330945265574702
2024-01-24 03:00,BUY,6.939283975974195
2024-01-26 07:00,BUY,6.8119974998106505
2024-02-07 11:00,BUY,7.107620441429312
2024-02-28 19:00,BUY,5.643897787334493
2024-02-29 11:00,BUY,8.60892453369216
2024-03-13 14:00,BUY,10.612210478612347
2024-03-19 22:00,BUY,6.351951596794048
2024-03-20 10:00,BUY,6.570919217558652
2024-03-25 10:00,BUY,12.150138097451913
2024-03-26 06:00,BUY,11.584387651773067
2024-04-16 14:00,BUY,23.20996037155213
2024-04-19 14:00,BUY,21.08097221163232
2024-04-25 06:00,BUY,13.781915503799706
2024-04-25 14:00,BUY,17.88162592243186
2024-05-01 18:00,BUY,16.05342252373871
2024-05-03 02:00,BUY,12.551663893800285
2024-05-09 02:00,BUY,9.82482017508253
2024-05-09 10:00,BUY,12.356284912052711
2024-05-27 14:00,BUY,9.95335584233287
2024-05-28 10:00,BUY,11.022354042415689
2024-05-30 10:00,BUY,12.712081257177445
2024-05-31 10:00,BUY,11.218953269081485
2024-06-03 14:00,BUY,14.435993860616078
2024-06-05 02:00,BUY,11.169132336433922
2024-06-05 10:00,BUY,12.104644695317813
2024-06-18 10:00,BUY,11.6934279005674
2024-07-02 10:00,BUY,10.39352676229111
2024-07-10 06:00,BUY,8.76312779509094
