bartime,side,atr
2023-01-12 09:00,SELL,219.84307215469468
2023-01-16 18:00,SELL,170.97876179980886
2023-01-18 13:00,BUY,158.51077075281887
2023-01-18 21:00,SELL,182.00689328180408
2023-01-19 09:00,BUY,214.2235293602837
2023-01-19 17:00,BUY,175.7030587905816
2023-01-30 06:00,SELL,161.3986506421797
2023-02-02 01:00,BUY,222.74873862737888
2023-02-09 05:00,BUY,205.11362927046412
2023-02-10 09:00,SELL,203.62995458518128
2023-02-13 22:00,BUY,163.8007594571663
2023-02-16 05:00,BUY,166.79615740314233
2023-02-20 10:00,BUY,197.51060968111318
2023-02-21 09:00,SELL,160.30395658030722
2023-03-01 05:00,BUY,210.5279556841778
2023-03-07 13:00,SELL,205.73068977811317
2023-03-14 20:00,BUY,240.42576817075056
2023-03-15 16:00,SELL,258.5091157141916
2023-03-17 00:00,BUY,198.33783144305994
2023-03-17 20:00,SELL,221.49422060726195
2023-03-21 12:00,BUY,189.84362709683003
2023-03-27 05:00,SELL,235.91570851271044
2023-03-28 16:00,BUY,205.6784949720863
2023-04-03 09:00,SELL,180.44897079792673
2023-04-04 08:00,SELL,163.66697500085172
2023-04-06 20:00,BUY,161.92464008942315
2023-04-11 08:00,SELL,155.6248823712161
2023-04-12 08:00,SELL,136.2632971643201
2023-04-13 16:00,BUY,201.98084081397985
2023-04-14 12:00,BUY,157.89068191792495
2023-04-14 20:00,SELL,158.05003642747198
2023-04-17 05:00,BUY,176.51202331358206
2023-04-19 12:00,SELL,164.86835731827333
2023-04-26 16:00,BUY,170.6192586316647
2023-04-27 08:00,BUY,135.0128483355299
2023-05-02 12:00,SELL,178.5736461993039
2023-05-04 08:00,BUY,192.99108992098974
2023-05-09 12:00,SELL,168.65427328026848
2023-05-15 09:00,BUY,219.7137955969299
2023-05-17 08:00,SELL,128.71706071412552
2023-05-22 09:00,BUY,172.39760803582885
2023-05-23 08:00,SELL,153.95063056094432
2023-05-30 12:00,BUY,149.3843068029199
2023-06-01 20:00,BUY,226.61105803016372
2023-06-08 04:00,SELL,138.13004975924764
2023-06-14 12:00,SELL,132.70304850311592
2023-06-20 04:00,SELL,93.35970970302435
2023-06-27 08:00,BUY,142.31793340029643
2023-06-29 08:00,SELL,139.2930964022493
2023-06-30 20:00,BUY,128.27599972519488
2023-07-03 05:00,BUY,177.61663982412472
2023-07-05 08:00,SELL,126.68180525760039
2023-07-10 17:00,BUY,184.0634657366662
2023-07-17 05:00,SELL,108.56440296194312
2023-07-17 21:00,SELL,133.25677945321195
2023-07-21 08:00,BUY,152.315775834799
2023-07-22 00:00,SELL,131.20294178193367
2023-07-24 21:00,BUY,244.02937996310408
2023-07-28 00:00,SELL,172.29380641257268
2023-08-01 16:00,SELL,167.60212804425063
2023-08-10 12:00,BUY,168.50410992476623
2023-08-23 08:00,BUY,152.218823129556
2023-08-25 20:00,SELL,152.80559961452587
2023-08-28 05:00,BUY,237.47558375329643
2023-08-31 08:00,SELL,150.37255778510402
2023-09-01 20:00,BUY,132.68202976666595
2023-09-05 08:00,SELL,108.95742618171082
2023-09-12 01:00,BUY,131.5609675601275
2023-09-12 08:00,BUY,148.36701923848207
2023-09-13 08:00,SELL,132.20987589125232
2023-09-13 16:00,BUY,122.8943205704015
2023-09-14 08:00,SELL,125.59911370563596
2023-09-14 16:00,BUY,136.08343277160702
2023-09-15 20:00,SELL,149.30078032038406
2023-09-20 20:00,BUY,106.6775613171589
2023-09-22 08:00,BUY,166.13518532296962
2023-09-25 09:00,SELL,152.8070348213043
2023-09-29 08:00,BUY,187.60509837545231
2023-10-03 08:00,SELL,179.79308775483884
2023-10-06 04:00,BUY,85.43440417294784
2023-10-13 00:00,SELL,139.07257660085463
2023-10-17 20:00,BUY,131.95389941304038
2023-10-24 20:00,BUY,209.60401797030133
2023-10-26 00:00,SELL,168.07546022944544
2023-10-27 04:00,BUY,135.99769651711
2023-10-30 05:00,BUY,167.31846815578092
2023-10-31 08:00,SELL,158.60099817298286
2023-11-02 04:00,BUY,123.6210097385656
2023-11-08 05:00,SELL,115.40324221287366
2023-11-13 14:00,BUY,154.9352917017244
2023-11-16 17:00,SELL,223.58217096239616
2023-11-20 14:00,BUY,138.32550257656374
2023-11-21 13:00,SELL,157.75722068428882
2023-11-22 21:00,SELL,124.86615222980001
2023-11-23 13:00,BUY,134.8587759533261
2023-11-24 05:00,SELL,110.66535463048297
2023-12-11 22:00,BUY,138.26035783603407
2023-12-12 09:00,BUY,118.45062901506176
2023-12-13 01:00,BUY,116.21737764456974
2023-12-13 17:00,BUY,105.68103788321582
2023-12-13 21:00,SELL,119.84483030657267
2023-12-14 01:00,BUY,142.5958642452582
2023-12-18 18:00,SELL,132.68672966442244
2023-12-19 21:00,BUY,114.82034206115026
2023-12-20 13:00,SELL,114.05441210824736
2023-12-21 17:00,BUY,131.92721264616395
2023-12-22 09:00,SELL,203.81898629986898
2023-12-26 13:00,BUY,117.88495707567421
2023-12-26 21:00,BUY,110.94237252843229
