bartime,side,atr
2023-01-23 07:00,BUY,24.950637944924676
2023-01-26 10:00,BUY,23.667130122527247
2023-01-26 18:00,BUY,26.38696327841748
2023-01-31 14:00,BUY,33.141849059712804
2023-02-01 18:00,BUY,36.305613503927475
2023-02-13 07:00,BUY,24.956493164285597
2023-02-27 07:00,BUY,31.742352726729635
2023-03-01 10:00,BUY,29.84157873740027
2023-03-01 18:00,BUY,31.69861039193614
2023-03-02 14:00,BUY,34.34488865322962
2023-03-07 10:00,BUY,22.59793983704047
2023-03-23 14:00,SELL,50.092453312493404
2023-04-05 13:00,SELL,26.438740630936355
2023-04-06 01:00,SELL,19.564635203039387
2023-04-20 13:00,BUY,20.965565183977777
2023-04-27 17:00,BUY,31.124862963196655
2023-04-28 13:00,BUY,39.34075509578015
2023-05-30 09:00,SELL,28.163770123780797
2023-06-06 05:00,SELL,26.878671268008432
2023-06-08 01:00,SELL,22.378795571488556
2023-06-08 13:00,SELL,27.23554333260224
2023-06-08 21:00,SELL,22.758747732865324
2023-06-18 22:00,SELL,30.68985383377321
2023-06-19 10:00,SELL,26.30920516289209
2023-06-29 09:00,SELL,22.71510518666961
2023-06-29 21:00,SELL,21.138133855574843
2023-07-04 17:00,SELL,14.875033516198748
2023-07-17 14:00,SELL,25.450761932628225
2023-08-08 09:00,SELL,36.49654900047717
2023-08-31 13:00,SELL,35.12054165451551
2023-09-04 14:00,SELL,26.156820168191103
2023-09-05 13:00,SELL,33.53678946617014
2023-09-08 05:00,SELL,31.12276976552524
2023-09-20 05:00,BUY,34.053578920767464
2023-09-22 05:00,BUY,45.611396130515715
2023-09-28 13:00,BUY,52.017953077316115
2023-09-29 01:00,BUY,39.65319197558564
2023-10-01 22:00,BUY,42.94533394655999
2023-10-17 05:00,BUY,32.8967771980577
2023-10-26 13:00,SELL,43.26985453434625
2023-11-06 15:00,SELL,29.169465271882903
2023-11-08 14:00,SELL,35.26242270605667
2023-11-16 10:00,SELL,31.06336286254475
2023-12-13 18:00,BUY,33.79610198895161
2023-12-18 11:00,BUY,36.502972591592226
2024-01-04 14:00,BUY,30.44211251837453
2024-01-08 11:00,BUY,31.134794129495376
2024-02-01 18:00,BUY,40.14629363392719
2024-02-06 10:00,BUY,32.72479324044368
2024-02-23 06:00,BUY,22.60400385010145
2024-03-06 06:00,BUY,23.66345205749458
2024-03-11 15:00,BUY,35.629074152854386
2024-03-19 14:00,BUY,25.426741864004732
2024-03-20 10:00,BUY,25.419514773997378
2024-04-04 05:00,BUY,26.69354037834015
2024-04-05 13:00,BUY,36.57366313532135
2024-04-08 06:00,BUY,31.2048924202276
2024-04-12 05:00,BUY,40.08028320356129
2024-04-15 10:00,BUY,44.35072844809146
2024-04-19 13:00,BUY,51.73114456321488
2024-05-02 09:00,BUY,28.7313857870533
2024-05-20 02:00,BUY,21.555938096726546
2024-05-21 13:00,BUY,27.941563717851338
2024-05-27 14:00,BUY,19.605953027596495
2024-05-28 01:00,BUY,16.695847950129036
2024-05-31 05:00,BUY,26.46494478157195
2024-06-05 01:00,BUY,30.32601554648597
2024-06-05 09:00,BUY,36.0286499497511
2024-06-06 01:00,BUY,28.29701501941835
2024-06-19 09:00,BUY,30.540308655385157
2024-06-24 06:00,BUY,37.25686614607999
2024-07-17 17:00,BUY,35.806818623747866
2024-08-22 05:00,BUY,28.699771189945675
2024-08-22 21:00,BUY,27.361026279401493
2024-09-19 01:00,BUY,36.81032514729864
2024-09-24 01:00,BUY,29.749412231727895
2024-10-01 21:00,BUY,36.433553751705084
2024-10-03 05:00,BUY,39.06173588139956
2024-10-04 09:00,BUY,38.215871752715124
2024-11-06 02:00,SELL,40.996136472189896
2024-11-06 14:00,SELL,72.78042187376109
2024-11-19 06:00,SELL,40.5310652547473
2024-11-20 14:00,SELL,35.927875052889746
2024-11-20 22:00,SELL,33.21784003384956
2024-11-21 06:00,SELL,36.099417621663726
2024-12-09 07:00,BUY,27.93654851503444
2024-12-11 10:00,BUY,29.718387599708073
