bartime,side,atr
2017-05-04 05:00,BUY,77.33576748646917
2017-05-05 01:00,SELL,88.79098428996622
2017-05-05 13:00,BUY,94.10098395646271
2017-05-11 13:00,SELL,77.133073594421
2017-05-15 10:00,BUY,68.88771756256
2017-05-16 13:00,SELL,80.9698734661758
2017-05-19 13:00,BUY,121.47373565827763
2017-05-26 01:00,SELL,63.21851454420402
2017-05-31 09:00,BUY,62.82808460160103
2017-06-06 01:00,SELL,67.4748919968617
2017-06-08 13:00,BUY,77.51696086980736
2017-06-08 21:00,SELL,82.01085495667672
2017-06-09 05:00,BUY,98.1669471722731
2017-06-09 17:00,SELL,107.14147695220383
2017-06-13 13:00,BUY,62.46972549829709
2017-06-14 09:00,SELL,73.378879651282
2017-06-14 21:00,BUY,105.73798638145641
2017-06-15 01:00,SELL,121.19038910516514
2017-06-15 17:00,BUY,96.27958337747566
2017-06-21 05:00,SELL,75.8914482481178
2017-06-25 22:00,BUY,56.45444471299601
2017-06-28 01:00,SELL,68.08392009927884
2017-06-28 17:00,BUY,73.59597367266463
2017-06-29 13:00,SELL,115.74152865305877
2017-07-03 06:00,BUY,76.16942972404837
2017-07-04 01:00,SELL,82.76699841497022
2017-07-05 05:00,BUY,101.02775203249398
2017-07-05 21:00,SELL,89.66896723250954
2017-07-07 13:00,BUY,79.96727777124312
2017-07-13 01:00,SELL,61.968948026321684
2017-07-19 17:00,BUY,53.825446991652505
2017-07-21 09:00,SELL,58.80584825904323
2017-07-25 09:00,BUY,59.32913134921807
2017-07-27 21:00,SELL,79.9436636651928
2017-08-01 05:00,BUY,51.65889057886646
2017-08-03 05:00,SELL,57.036933163262006
2017-08-04 09:00,BUY,49.561307045720135
2017-08-08 01:00,SELL,39.30044898270957
2017-08-14 21:00,BUY,106.59108337334123
2017-08-17 05:00,SELL,65.02024674817753
2017-08-22 13:00,BUY,84.23125774624324
2017-08-23 17:00,SELL,66.10470306450495
2017-08-24 09:00,BUY,63.84448637522124
2017-08-27 22:00,SELL,80.95289294660915
2017-08-28 18:00,BUY,59.85304396074489
2017-08-29 01:00,SELL,123.46594813487674
2017-08-29 17:00,BUY,124.16365235604553
2017-09-03 22:00,SELL,97.39029479404678
2017-09-06 21:00,BUY,76.86786620336758
2017-09-07 21:00,SELL,95.97156991801562
2017-09-10 22:00,BUY,111.00566722458828
2017-09-22 01:00,SELL,78.66021113521708
2017-09-25 10:00,BUY,57.19824792821143
2017-09-25 14:00,SELL,80.75859834256914
2017-09-27 09:00,BUY,85.08212951168271
2017-09-28 09:00,SELL,78.74920975871056
2017-09-29 13:00,BUY,61.17052227438994
2017-10-06 13:00,SELL,56.447468664958244
2017-10-10 01:00,BUY,57.1168308355619
2017-10-19 05:00,SELL,101.90174069901417
2017-10-20 01:00,BUY,98.86796239225298
2017-11-09 06:00,SELL,280.1421289731995
2017-11-16 02:00,BUY,195.2770028466951
2017-11-17 18:00,SELL,139.97490673018638
2017-11-20 11:00,BUY,144.03772179668437
2017-11-22 18:00,SELL,116.59047962078319
2017-11-24 02:00,BUY,110.48701975176849
2017-11-26 23:00,SELL,110.45878663225952
2017-11-28 10:00,BUY,109.52739285141867
2017-12-01 14:00,SELL,232.35760309632326
2017-12-07 02:00,BUY,153.24511905062226
2017-12-12 22:00,SELL,87.64639966189868
2017-12-15 14:00,BUY,118.89748823988634
2017-12-20 22:00,SELL,89.0341507791826
2017-12-21 14:00,BUY,82.08438815915318
2017-12-21 18:00,SELL,82.86751052732255
2017-12-22 02:00,BUY,81.39520673748643
2017-12-28 02:00,SELL,87.15511108799467
