bartime,atr,signal
2026-03-26 06:00:00,155.80651184272898,-1
2026-03-31 12:00:00,210.36182136310146,1
2026-04-02 03:00:00,184.83246027296565,-1
2026-04-02 18:00:00,219.4769405822446,1
2026-04-07 09:00:00,156.0687663878811,-1
2026-04-07 18:00:00,250.35760839059554,1
2026-04-21 15:00:00,118.71224520460461,-1
2026-04-22 12:00:00,114.52841504553247,1
2026-04-23 15:00:00,200.81609796285312,-1
2026-04-24 03:00:00,142.6912337255847,1
2026-04-28 09:00:00,132.8852911314441,-1
2026-04-29 21:00:00,213.9606327899545,1
2026-04-30 03:00:00,221.35480498557092,-1
2026-04-30 06:00:00,219.3238439884569,1
2026-05-12 09:00:00,124.92807827899902,-1
2026-05-13 03:00:00,172.580563752371,1
2026-05-15 03:00:00,185.96499603026578,-1
2026-05-18 10:00:00,247.63177643800861,1
2026-05-18 13:00:00,293.445421150407,-1
2026-05-20 06:00:00,215.97011807686104,1
2026-05-27 12:00:00,197.0216387213247,-1
2026-05-28 12:00:00,181.61676471101651,1
2026-06-02 00:00:00,151.09604905543966,-1
2026-06-02 12:00:00,149.8633416931081,1
2026-06-03 18:00:00,173.1395170692298,-1
2026-06-09 06:00:00,209.21869783758666,1
2026-06-09 15:00:00,457.16557329284456,-1
2026-06-11 15:00:00,388.60404784682964,1
2026-06-16 15:00:00,199.31379126858727,-1
2026-06-18 12:00:00,200.2002214838456,1
