bartime,atr,signal
2026-03-23 21:00:00,256.27718702217834,1
2026-03-26 00:00:00,204.46613165086998,-1
2026-03-30 10:00:00,187.13942628420514,1
2026-03-30 21:00:00,138.21822900601106,-1
2026-03-31 09:00:00,184.70378660086195,1
2026-04-02 00:00:00,180.62351930972702,-1
2026-04-02 18:00:00,185.00078944592886,1
2026-04-03 06:00:00,112.47648335705323,-1
2026-04-06 07:00:00,83.2294192531508,1
2026-04-07 03:00:00,75.01848838455717,-1
2026-04-07 18:00:00,140.67841027385185,1
2026-04-12 22:00:00,155.63281381402408,-1
2026-04-13 16:00:00,147.0920771444628,1
2026-04-14 03:00:00,137.041234798372,-1
2026-04-14 06:00:00,152.07298783869774,1
2026-04-17 00:00:00,118.87581421651349,-1
2026-04-17 12:00:00,173.79265350308395,1
2026-04-21 12:00:00,130.87741535452835,-1
2026-04-24 09:00:00,173.2323485649333,1
2026-04-27 10:00:00,128.94904139661318,-1
2026-04-29 00:00:00,132.25467955225835,1
2026-04-29 18:00:00,135.51785391654658,-1
2026-04-30 09:00:00,176.5714183713743,1
2026-05-04 10:00:00,139.8434082575893,-1
2026-05-06 00:00:00,134.22754471883155,1
2026-05-08 00:00:00,138.725577158845,-1
2026-05-11 10:00:00,97.8113525120957,1
2026-05-12 06:00:00,114.7155238343453,-1
2026-05-13 12:00:00,247.02106261709991,1
2026-05-14 03:00:00,195.61253379837189,-1
2026-05-20 12:00:00,137.22074877749228,1
2026-05-21 03:00:00,163.14289495940903,-1
2026-05-21 15:00:00,193.2790097753745,1
2026-05-22 09:00:00,200.66139033855558,-1
2026-05-24 22:00:00,181.81250548267207,1
2026-05-26 06:00:00,145.35413563998216,-1
2026-05-26 21:00:00,91.68612316650933,1
2026-05-27 00:00:00,130.88889853320762,-1
2026-05-29 03:00:00,149.52314554515254,1
2026-06-03 06:00:00,155.59436015114477,-1
2026-06-11 15:00:00,230.52306653618678,1
2026-06-16 00:00:00,144.13684815887314,-1
