bartime,atr,signal
2026-03-25 06:00:00,216.29050435489407,1
2026-03-26 03:00:00,155.90980381888684,-1
2026-03-30 13:00:00,219.84422462638022,1
2026-04-02 03:00:00,208.46055503220165,-1
2026-04-02 18:00:00,222.21520267295207,1
2026-04-03 12:00:00,124.29378368949807,-1
2026-04-06 07:00:00,147.64017379921816,1
2026-04-07 00:00:00,137.82968652042254,-1
2026-04-07 21:00:00,343.0809137145676,1
2026-04-10 06:00:00,122.57114806755584,-1
2026-04-13 16:00:00,167.3607507932028,1
2026-04-21 12:00:00,125.56383071085958,-1
2026-04-23 21:00:00,176.4991016662139,1
2026-04-27 13:00:00,159.71173861862613,-1
2026-04-30 09:00:00,199.47605070517588,1
2026-05-04 13:00:00,197.51752262193423,-1
2026-05-05 06:00:00,156.00852945020455,1
2026-05-07 15:00:00,165.43141284633126,-1
2026-05-13 09:00:00,112.91868500257029,1
2026-05-15 00:00:00,124.87610588159666,-1
2026-05-18 10:00:00,230.41530552122572,1
2026-05-20 00:00:00,166.48739676474815,-1
2026-05-20 09:00:00,165.6855471435511,1
2026-05-27 09:00:00,99.21731981300933,-1
2026-06-01 07:00:00,110.97722681835978,1
2026-06-01 13:00:00,173.65742516375025,-1
2026-06-02 03:00:00,131.20726507765806,1
2026-06-02 15:00:00,135.0343357758088,-1
2026-06-05 06:00:00,105.64233367801884,1
2026-06-05 15:00:00,137.27607484314586,-1
2026-06-09 06:00:00,141.0219217730787,1
2026-06-09 15:00:00,207.0768239478167,-1
2026-06-11 15:00:00,224.8005146049721,1
2026-06-16 15:00:00,127.19355687939914,-1
2026-06-17 12:00:00,106.5218295796743,1
