bartime,atr,signal
2026-05-22 10:00:00,26.397455538762635,-1
2026-05-22 12:00:00,29.88637154480802,1
2026-05-22 14:00:00,29.927277788677134,-1
2026-05-25 00:00:00,39.430216308634954,1
2026-05-26 04:00:00,16.67352893694261,-1
2026-05-27 00:00:00,16.995726220633767,1
2026-05-27 15:00:00,33.31357725480835,-1
2026-05-28 15:00:00,31.593605929431366,1
2026-05-29 13:00:00,27.0363197459222,-1
2026-06-01 10:00:00,22.372894306297574,1
2026-06-01 13:00:00,40.36852188482434,-1
2026-06-02 06:00:00,22.00761304084462,1
2026-06-03 05:00:00,14.83639676139818,-1
2026-06-04 07:00:00,28.97322194257214,1
2026-06-05 03:00:00,22.43460793907358,-1
2026-06-05 06:00:00,22.187319264805854,1
2026-06-05 13:00:00,31.88336689708262,-1
2026-06-08 10:00:00,39.729582514480335,1
2026-06-09 00:00:00,26.63174822038573,-1
2026-06-09 03:00:00,23.36425508883753,1
2026-06-09 06:00:00,20.594498605484873,-1
2026-06-09 07:00:00,31.5755988843879,1
2026-06-09 15:00:00,40.15171391612721,-1
2026-06-10 07:00:00,28.63664654598554,1
2026-06-10 08:00:00,32.30931723678843,-1
2026-06-11 07:00:00,37.34459052158564,1
2026-06-15 13:00:00,28.040380694885933,-1
2026-06-16 06:00:00,17.009504409076673,1
2026-06-17 13:00:00,22.296755743536007,-1
2026-06-18 06:00:00,30.105790307642632,1
2026-06-19 01:00:00,22.291359982390077,-1
2026-06-19 06:00:00,22.839824839029486,1
2026-06-19 11:00:00,24.864313803253296,-1
2026-06-23 13:00:00,27.5635144278138,1
2026-06-23 19:00:00,22.879881926165005,-1
2026-06-24 00:00:00,21.783905540931933,1
2026-06-24 02:00:00,22.84169954619644,-1
2026-06-24 05:00:00,22.958150167652473,1
2026-06-26 11:00:00,22.519711466168342,-1
2026-06-26 15:00:00,28.110953816542512,1
