bartime,atr,signal
2026-04-17 02:00:00,26.049283048625863,-1
2026-04-17 06:00:00,27.595541151120496,1
2026-04-21 00:00:00,29.218591457833888,-1
2026-04-21 08:00:00,28.886175061129197,1
2026-04-21 10:00:00,32.248940048903144,-1
2026-04-23 12:00:00,50.417385982245605,1
2026-04-24 08:00:00,47.94468046779512,-1
2026-04-24 10:00:00,57.31574437423632,1
2026-04-27 04:00:00,35.597870794591806,-1
2026-04-27 08:00:00,36.862637308538794,1
2026-04-27 14:00:00,40.949670301972155,-1
2026-04-30 10:00:00,42.920065531603605,1
2026-05-04 10:00:00,53.10709188697339,-1
2026-05-05 08:00:00,48.805466621756835,1
2026-05-07 14:00:00,50.10973085901584,-1
2026-05-13 02:00:00,28.924919465679544,1
2026-05-13 08:00:00,34.20555876642767,-1
2026-05-13 14:00:00,38.009246088410826,1
2026-05-15 00:00:00,35.28891658140822,-1
2026-05-18 12:00:00,57.42722236217843,1
2026-05-20 02:00:00,45.34167576237231,-1
2026-05-20 08:00:00,45.5469379903346,1
2026-05-22 14:00:00,38.60345806618908,-1
2026-05-25 00:00:00,49.362570529888714,1
2026-05-26 08:00:00,32.74329149355182,-1
2026-05-27 08:00:00,29.581799026805076,1
2026-05-27 14:00:00,37.35788110172405,-1
2026-05-28 16:00:00,39.689998437098986,1
2026-05-29 14:00:00,43.70588439055114,-1
2026-06-01 10:00:00,30.66232227691314,1
2026-06-01 12:00:00,47.42985782153052,-1
2026-06-02 06:00:00,44.18542195901396,1
2026-06-03 06:00:00,29.610213480048024,-1
2026-06-04 06:00:00,36.06190845030968,1
2026-06-05 14:00:00,42.1552424765665,-1
2026-06-08 12:00:00,53.23447520449378,1
2026-06-10 02:00:00,44.06235213305472,-1
2026-06-11 08:00:00,55.60725980210575,1
2026-06-15 18:00:00,34.783398210268786,-1
2026-06-16 08:00:00,31.30214392554081,1
2026-06-17 16:00:00,27.339733453083642,-1
2026-06-18 06:00:00,45.3110038579063,1
2026-06-19 00:00:00,36.66239343626164,-1
2026-06-19 06:00:00,36.055945439366006,1
2026-06-19 14:00:00,37.39043525196465,-1
2026-06-24 10:00:00,34.82950167431385,1
2026-06-26 10:00:00,34.21281095009877,-1
