entry_time_ms,direction,entry_price,close_price,old_volume_units,build1_volume_units,volume_ratio,old_gross_usd,build1_gross_usd
1735783423443,sell,19596.43,19741.47,5.42,5.8,1.070110701107011,-101.07,-108.16
1735869824042,buy,19677.17,19835.53,12.8,13.71,1.07109375,260.61,279.14
1736166294685,buy,20088.47,19946.23,5.68,6.09,1.0721830985915493,-103.88,-111.37
1736184726885,sell,19678.53,19514.07,4.56,4.89,1.0723684210526316,96.42,103.4
1736258401354,buy,19514.07,19423.53,12.37,13.27,1.0727566693613582,-144,-154.47
