Info | CBot instance [MA Cross, SPN35.cash, m45] started.
05/02/2026 09:15:03.494 | Info | MA Cross: bartime=2026-02-05 08:30, executed=2026-02-05 09:15:03, market Sell placed; SL=115.04925138989823 pips, TP=301.1989401387535 pips.
06/02/2026 17:30:02.794 | Info | MA Cross: bartime=2026-02-06 16:45, reversal - closing existing Sell position 12 before opening opposite direction.
06/02/2026 17:30:02.794 | Trade | Closing position PID12 (Volume: 0.68)
06/02/2026 17:30:02.794 | Trade | → Closing position PID12 (Volume: 0.68) SUCCEEDED
06/02/2026 17:30:02.794 | Trade | Executing Market Order to Buy 1.45 SPN35.cash (SL: 53.67, TP: 140.52)
06/02/2026 17:30:02.794 | Trade | → Executing Market Order to Buy 1.45 SPN35.cash (SL: 53.67, TP: 140.52) SUCCEEDED, Position PID13
06/02/2026 17:30:02.794 | Info | MA Cross: bartime=2026-02-06 16:45, executed=2026-02-06 17:30:02, market Buy placed; SL=53.67300266527445 pips, TP=140.51592097768852 pips.
11/02/2026 10:45:01.114 | Trade | Executing Market Order to Sell 1.02 SPN35.cash (SL: 78.2, TP: 204.74)
11/02/2026 10:45:01.114 | Trade | → Executing Market Order to Sell 1.02 SPN35.cash (SL: 78.2, TP: 204.74) SUCCEEDED, Position PID14
11/02/2026 10:45:01.114 | Info | MA Cross: bartime=2026-02-11 10:00, executed=2026-02-11 10:45:01, market Sell placed; SL=78.20348168125872 pips, TP=204.73671504153532 pips.
16/02/2026 15:15:01.995 | Trade | Executing Market Order to Buy 1.65 SPN35.cash (SL: 48.03, TP: 125.73)
16/02/2026 15:15:01.995 | Trade | → Executing Market Order to Buy 1.65 SPN35.cash (SL: 48.03, TP: 125.73) SUCCEEDED, Position PID15
16/02/2026 15:15:01.995 | Info | MA Cross: bartime=2026-02-16 14:30, executed=2026-02-16 15:15:01, market Buy placed; SL=48.02589254861708 pips, TP=125.73178669227951 pips.
19/02/2026 15:15:00.396 | Trade | Executing Market Order to Sell 1.43 SPN35.cash (SL: 57.76, TP: 151.2)
19/02/2026 15:15:00.396 | Trade | → Executing Market Order to Sell 1.43 SPN35.cash (SL: 57.76, TP: 151.2) SUCCEEDED, Position PID16
19/02/2026 15:15:00.396 | Info | MA Cross: bartime=2026-02-19 14:30, executed=2026-02-19 15:15:00, market Sell placed; SL=57.75534024255127 pips, TP=151.20348075499922 pips.
20/02/2026 16:00:00.496 | Trade | Executing Market Order to Buy 1.09 SPN35.cash (SL: 74.65, TP: 195.43)
20/02/2026 16:00:00.496 | Trade | → Executing Market Order to Buy 1.09 SPN35.cash (SL: 74.65, TP: 195.43) SUCCEEDED, Position PID17
20/02/2026 16:00:00.496 | Info | MA Cross: bartime=2026-02-20 15:15, executed=2026-02-20 16:00:00, market Buy placed; SL=74.64761043705458 pips, TP=195.42744412420888 pips.
24/02/2026 13:00:00.438 | Trade | Executing Market Order to Sell 1.27 SPN35.cash (SL: 65.84, TP: 172.36)
24/02/2026 13:00:00.438 | Trade | → Executing Market Order to Sell 1.27 SPN35.cash (SL: 65.84, TP: 172.36) SUCCEEDED, Position PID18
24/02/2026 13:00:00.438 | Info | MA Cross: bartime=2026-02-24 12:15, executed=2026-02-24 13:00:00, market Sell placed; SL=65.83690188109202 pips, TP=172.36100912469888 pips.
25/02/2026 13:00:00.737 | Trade | Executing Market Order to Buy 1.75 SPN35.cash (SL: 47.34, TP: 123.93)
25/02/2026 13:00:00.737 | Trade | → Executing Market Order to Buy 1.75 SPN35.cash (SL: 47.34, TP: 123.93) SUCCEEDED, Position PID19
25/02/2026 13:00:00.737 | Info | MA Cross: bartime=2026-02-25 12:15, executed=2026-02-25 13:00:00, market Buy placed; SL=47.33594057581462 pips, TP=123.92549242748267 pips.
27/02/2026 17:30:07.137 | Trade | Executing Market Order to Sell 1.02 SPN35.cash (SL: 82.72, TP: 216.55)
27/02/2026 17:30:07.137 | Trade | → Executing Market Order to Sell 1.02 SPN35.cash (SL: 82.72, TP: 216.55) SUCCEEDED, Position PID20
27/02/2026 17:30:07.137 | Info | MA Cross: bartime=2026-02-27 16:45, executed=2026-02-27 17:30:07, market Sell placed; SL=82.71691169895337 pips, TP=216.5528748278599 pips.
27/02/2026 18:59:42.036 | Info | MA Cross: loaded=1012, processed=20, before-start=927, not-processed=65, placed=20, failed=0, guard-skipped=0, same-direction-skipped=0, reversed=1, margin-capped=2, margin-blocked=0.
Info | CBot instance [MA Cross, SPN35.cash, m45] stopped.
