"RunNumber","Success","FailureReason","Parameters","OutputDir","NetProfit","ROI","ProfitFactor","TotalTrades","MaxEquityDrawdownPct"
"1","True",,"{""MaxMarginPercent"":5,""RiskPercent"":1,""KslLevel"":3,""SignalFilePath"":""Z:\\Desktop\\og_program\\runtime\\exports\\combo_US30_H1_full_history_signals.csv"",""KtpLevel"":7}","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\cli_runs\Combo_US30.cash_h1_20260903-012755","156.53","1.57","2.61","22","0.4825912589919555"
"2","True",,"{""MaxMarginPercent"":10,""RiskPercent"":1,""KslLevel"":3,""SignalFilePath"":""Z:\\Desktop\\og_program\\runtime\\exports\\combo_US30_H1_full_history_signals.csv"",""KtpLevel"":7}","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\cli_runs\Combo_US30.cash_h1_20260903-012909","312.2","3.12","2.6","22","0.9509025375835009"
"3","True",,"{""MaxMarginPercent"":20,""RiskPercent"":1,""KslLevel"":3,""SignalFilePath"":""Z:\\Desktop\\og_program\\runtime\\exports\\combo_US30_H1_full_history_signals.csv"",""KtpLevel"":7}","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\cli_runs\Combo_US30.cash_h1_20260903-013002","633.52","6.34","2.56","22","1.9355998467783444"
"4","True",,"{""MaxMarginPercent"":30,""RiskPercent"":1,""KslLevel"":3,""SignalFilePath"":""Z:\\Desktop\\og_program\\runtime\\exports\\combo_US30_H1_full_history_signals.csv"",""KtpLevel"":7}","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\cli_runs\Combo_US30.cash_h1_20260903-013054","967.28","9.67","2.55","22","2.864075807915781"
"5","True",,"{""MaxMarginPercent"":50,""RiskPercent"":1,""KslLevel"":3,""SignalFilePath"":""Z:\\Desktop\\og_program\\runtime\\exports\\combo_US30_H1_full_history_signals.csv"",""KtpLevel"":7}","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\cli_runs\Combo_US30.cash_h1_20260903-013147","1612.85","16.13","2.72","22","3.2795683615877693"
"6","True",,"{""MaxMarginPercent"":100,""RiskPercent"":1,""KslLevel"":3,""SignalFilePath"":""Z:\\Desktop\\og_program\\runtime\\exports\\combo_US30_H1_full_history_signals.csv"",""KtpLevel"":7}","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\cli_runs\Combo_US30.cash_h1_20260903-013241","1870.25","18.7","2.48","22","4.520799003052839"
