Info | CBot instance [MA Cross, BTCUSD, m20] started.
06/01/2026 17:20:00.007 | Trade | → Executing Market Order to Sell 0.07 BTCUSD (SL: 448.86, TP: 1175.13) SUCCEEDED, Position PID8
06/01/2026 17:20:00.007 | Info | MA Cross: bartime=2026-01-06 17:00, executed=2026-01-06 17:20:00, market Sell placed; SL=448.8640098073994 pips, TP=1175.1259776757715 pips.
07/01/2026 00:00:00.412 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.28 units, which needs about $18709.59 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5012.62 budget, free margin was $10025.24). Size was cut from 0.28 to 0.07 units. Real risk on this trade is now about $24.34 (0.24% of balance) instead of the requested 1.00%.
07/01/2026 00:00:00.412 | Trade | Executing Market Order to Buy 0.07 BTCUSD (SL: 347.71, TP: 910.31)
07/01/2026 00:00:00.412 | Trade | → Executing Market Order to Buy 0.07 BTCUSD (SL: 347.71, TP: 910.31) SUCCEEDED, Position PID9
07/01/2026 00:00:00.412 | Info | MA Cross: bartime=2026-01-06 23:40, executed=2026-01-07 00:00:00, market Buy placed; SL=347.71268380076225 pips, TP=910.3118061903955 pips.
07/01/2026 04:40:00.605 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.39 units, which needs about $26059.78 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5000.43 budget, free margin was $10000.86). Size was cut from 0.39 to 0.07 units. Real risk on this trade is now about $17.67 (0.18% of balance) instead of the requested 1.00%.
07/01/2026 04:40:00.605 | Trade | Executing Market Order to Sell 0.07 BTCUSD (SL: 252.49, TP: 661.03)
07/01/2026 04:40:00.605 | Trade | → Executing Market Order to Sell 0.07 BTCUSD (SL: 252.49, TP: 661.03) SUCCEEDED, Position PID10
07/01/2026 04:40:00.605 | Info | MA Cross: bartime=2026-01-07 04:20, executed=2026-01-07 04:40:00, market Sell placed; SL=252.4924241187384 pips, TP=661.0251663428571 pips.
08/01/2026 02:20:00.092 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.46 units, which needs about $30737.18 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4991.57 budget, free margin was $9983.13). Size was cut from 0.46 to 0.07 units. Real risk on this trade is now about $15.09 (0.15% of balance) instead of the requested 1.00%.
08/01/2026 02:20:00.092 | Trade | Executing Market Order to Buy 0.07 BTCUSD (SL: 215.5, TP: 564.19)
08/01/2026 02:20:00.092 | Trade | → Executing Market Order to Buy 0.07 BTCUSD (SL: 215.5, TP: 564.19) SUCCEEDED, Position PID11
08/01/2026 02:20:00.092 | Info | MA Cross: bartime=2026-01-08 02:00, executed=2026-01-08 02:20:00, market Buy placed; SL=215.5040333371546 pips, TP=564.1895592766707 pips.
08/01/2026 04:00:00.255 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.36 units, which needs about $24055.18 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4983.75 budget, free margin was $9967.50). Size was cut from 0.36 to 0.07 units. Real risk on this trade is now about $18.91 (0.19% of balance) instead of the requested 1.00%.
08/01/2026 04:00:00.255 | Trade | Executing Market Order to Sell 0.07 BTCUSD (SL: 270.14, TP: 707.22)
08/01/2026 04:00:00.255 | Trade | → Executing Market Order to Sell 0.07 BTCUSD (SL: 270.14, TP: 707.22) SUCCEEDED, Position PID12
08/01/2026 04:00:00.255 | Info | MA Cross: bartime=2026-01-08 03:40, executed=2026-01-08 04:00:00, market Sell placed; SL=270.1378816439168 pips, TP=707.2209741437741 pips.
08/01/2026 17:00:00.605 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.21 units, which needs about $14032.19 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4974.28 budget, free margin was $9948.56). Size was cut from 0.21 to 0.07 units. Real risk on this trade is now about $31.70 (0.32% of balance) instead of the requested 1.00%.
08/01/2026 17:00:00.605 | Trade | Executing Market Order to Buy 0.07 BTCUSD (SL: 452.91, TP: 1185.71)
08/01/2026 17:00:00.605 | Trade | → Executing Market Order to Buy 0.07 BTCUSD (SL: 452.91, TP: 1185.71) SUCCEEDED, Position PID13
08/01/2026 17:00:00.605 | Info | MA Cross: bartime=2026-01-08 16:40, executed=2026-01-08 17:00:00, market Buy placed; SL=452.9069963560531 pips, TP=1185.7105164601471 pips.
09/01/2026 05:00:00.043 | Info | MA Cross: bartime=2026-01-09 04:40, reversal - closing existing Buy position 13 before opening opposite direction.
09/01/2026 05:00:00.043 | Trade | Closing position PID13 (Volume: 0.07)
09/01/2026 05:00:00.043 | Trade | → Closing position PID13 (Volume: 0.07) SUCCEEDED
09/01/2026 05:00:00.043 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.50 units, which needs about $33409.97 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4974.81 budget, free margin was $9949.61). Size was cut from 0.50 to 0.07 units. Real risk on this trade is now about $13.79 (0.14% of balance) instead of the requested 1.00%.
09/01/2026 05:00:00.043 | Trade | Executing Market Order to Sell 0.07 BTCUSD (SL: 197.01, TP: 515.77)
09/01/2026 05:00:00.043 | Trade | → Executing Market Order to Sell 0.07 BTCUSD (SL: 197.01, TP: 515.77) SUCCEEDED, Position PID14
09/01/2026 05:00:00.043 | Info | MA Cross: bartime=2026-01-09 04:40, executed=2026-01-09 05:00:00, market Sell placed; SL=197.0080559440118 pips, TP=515.7670904614229 pips.
09/01/2026 16:20:00.018 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.14 units, which needs about $9354.79 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4992.92 budget, free margin was $9985.84). Size was cut from 0.14 to 0.07 units. Real risk on this trade is now about $47.87 (0.48% of balance) instead of the requested 1.00%.
09/01/2026 16:20:00.018 | Trade | Executing Market Order to Buy 0.07 BTCUSD (SL: 683.85, TP: 1790.32)
09/01/2026 16:20:00.018 | Trade | → Executing Market Order to Buy 0.07 BTCUSD (SL: 683.85, TP: 1790.32) SUCCEEDED, Position PID15
09/01/2026 16:20:00.018 | Info | MA Cross: bartime=2026-01-09 16:00, executed=2026-01-09 16:20:00, market Buy placed; SL=683.8514587658734 pips, TP=1790.3231190490565 pips.
