"BarTime","Signal","ATR","Outcome","ComputedSL_pips","ComputedTP_pips","RequestedVolume","FinalVolume","RealizedRiskPercent","Notes"
"2026-01-07 13:45","-1","41.61310486445417","Placed","41.613104864454172","108.94310853514102","","","",""
"2026-01-08 16:45","1","35.477725738369266","MarginCapped","35.477725738369266","92.880685983050739","2.36","2.00","0.85","Volume yeu cau 2.36 units bi cat con 2.00 units do vuot tran MaxMarginPercent"
"2026-01-12 18:15","1","28.16124403272726","MarginCapped","28.161244032727261","73.726136877679963","2.95","1.98","0.67","Volume yeu cau 2.95 units bi cat con 1.98 units do vuot tran MaxMarginPercent"
"2026-01-15 07:45","-1","55.3954476208171","Placed","55.3954476208171","145.02528187129917","","","",""
"2026-01-20 08:30","-1","73.17107169915934","Placed","73.171071699159342","191.56186570839915","","","",""
"2026-01-22 08:30","1","104.71000854681844","Placed","104.71000854681844","274.13080237557068","","","",""
"2026-01-23 17:30","-1","42.106027102583454","Placed","42.106027102583454","110.23357895456348","","","",""
"2026-01-26 13:00","1","41.179646051852416","Placed","41.179646051852416","107.80831336374962","","","",""
"2026-01-28 12:15","-1","56.24677248165172","Placed","56.246772481651718","147.2540503569642","","","",""
"2026-01-29 13:45","1","46.88505930689111","Placed","46.885059306891108","122.74508526544092","","","",""
"2026-02-04 15:15","1","73.72945342015242","Placed","73.729453420152424","193.02370905395904","","","",""
"2026-02-05 08:30","-1","115.04925138989823","Placed","115.04925138989823","301.19894013875353","","","",""
"2026-02-06 16:45","1","53.67300266527445","Reversal+Placed","53.673002665274453","140.51592097768852","","","","Da dong vi the Sell so 12 truoc khi dao chieu"
"2026-02-11 10:00","-1","78.20348168125872","Placed","78.203481681258722","204.73671504153532","","","",""
"2026-02-16 14:30","1","48.02589254861708","Placed","48.02589254861708","125.73178669227951","","","",""
"2026-02-19 14:30","-1","57.75534024255127","Placed","57.75534024255127","151.20348075499922","","","",""
"2026-02-20 15:15","1","74.64761043705458","Placed","74.647610437054581","195.42744412420888","","","",""
"2026-02-24 12:15","-1","65.83690188109202","Placed","65.836901881092018","172.36100912469888","","","",""
"2026-02-25 12:15","1","47.33594057581462","Placed","47.335940575814618","123.92549242748267","","","",""
"2026-02-27 16:45","-1","82.71691169895337","Placed","82.716911698953368","216.55287482785991","","","",""
