Info | CBot instance [MA Cross, XAUUSD, m20] started.
09/01/2026 08:20:00.004 | Trade | Executing Market Order to Buy 15 XAUUSD (SL: 6.5, TP: 17.01)
09/01/2026 08:20:00.004 | Trade | → Executing Market Order to Buy 15 XAUUSD (SL: 6.5, TP: 17.01) SUCCEEDED, Position PID11
09/01/2026 08:20:00.004 | Info | MA Cross: bartime=2026-01-09 08:00, executed=2026-01-09 08:20:00, market Buy placed; SL=6.496310189138521 pips, TP=17.00734007516465 pips.
12/01/2026 23:05:00.006 | Trade | Executing Market Order to Sell 14 XAUUSD (SL: 7.59, TP: 19.87)
12/01/2026 23:05:00.006 | Trade | → Executing Market Order to Sell 14 XAUUSD (SL: 7.59, TP: 19.87) SUCCEEDED, Position PID12
12/01/2026 23:05:00.006 | Info | MA Cross: bartime=2026-01-12 21:40, executed=2026-01-12 23:05:00, market Sell placed; SL=7.5911072238549755 pips, TP=19.873518712052324 pips.
13/01/2026 14:00:00.208 | Trade | Executing Market Order to Buy 9 XAUUSD (SL: 11.07, TP: 28.99)
13/01/2026 14:00:00.208 | Trade | → Executing Market Order to Buy 9 XAUUSD (SL: 11.07, TP: 28.99) SUCCEEDED, Position PID13
13/01/2026 14:00:00.208 | Info | MA Cross: bartime=2026-01-13 13:40, executed=2026-01-13 14:00:00, market Buy placed; SL=11.073343964989805 pips, TP=28.990014500343307 pips.
13/01/2026 20:40:00.204 | Trade | Executing Market Order to Sell 7 XAUUSD (SL: 13.63, TP: 35.67)
13/01/2026 20:40:00.204 | Trade | → Executing Market Order to Sell 7 XAUUSD (SL: 13.63, TP: 35.67) SUCCEEDED, Position PID14
13/01/2026 20:40:00.204 | Info | MA Cross: bartime=2026-01-13 20:20, executed=2026-01-13 20:40:00, market Sell placed; SL=13.626725458830595 pips, TP=35.6747672512185 pips.
14/01/2026 02:20:00.012 | Trade | Executing Market Order to Buy 14 XAUUSD (SL: 7.53, TP: 19.72)
14/01/2026 02:20:00.012 | Trade | → Executing Market Order to Buy 14 XAUUSD (SL: 7.53, TP: 19.72) SUCCEEDED, Position PID15
14/01/2026 02:20:00.012 | Info | MA Cross: bartime=2026-01-14 02:00, executed=2026-01-14 02:20:00, market Buy placed; SL=7.53155782765733 pips, TP=19.717618392806887 pips.
14/01/2026 15:00:00.003 | Trade | Executing Market Order to Sell 8 XAUUSD (SL: 12.41, TP: 32.48)
14/01/2026 15:00:00.003 | Trade | → Executing Market Order to Sell 8 XAUUSD (SL: 12.41, TP: 32.48) SUCCEEDED, Position PID16
14/01/2026 15:00:00.003 | Info | MA Cross: bartime=2026-01-14 14:40, executed=2026-01-14 15:00:00, market Sell placed; SL=12.408122857046475 pips, TP=32.48446563974767 pips.
15/01/2026 00:40:00.003 | Trade | Executing Market Order to Sell 11 XAUUSD (SL: 9.09, TP: 23.79)
15/01/2026 00:40:00.003 | Trade | → Executing Market Order to Sell 11 XAUUSD (SL: 9.09, TP: 23.79) SUCCEEDED, Position PID17
15/01/2026 00:40:00.003 | Info | MA Cross: bartime=2026-01-15 00:20, executed=2026-01-15 00:40:00, market Sell placed; SL=9.08550882847487 pips, TP=23.785862112947207 pips.
15/01/2026 10:00:00.001 | Trade | Executing Market Order to Buy 15 XAUUSD (SL: 7.09, TP: 18.57)
15/01/2026 10:00:00.001 | Trade | → Executing Market Order to Buy 15 XAUUSD (SL: 7.09, TP: 18.57) SUCCEEDED, Position PID18
15/01/2026 10:00:00.001 | Info | MA Cross: bartime=2026-01-15 09:40, executed=2026-01-15 10:00:00, market Buy placed; SL=7.094084099365336 pips, TP=18.57231217213845 pips.
15/01/2026 18:20:00.207 | Trade | Executing Market Order to Buy 14 XAUUSD (SL: 7.56, TP: 19.79)
15/01/2026 18:20:00.207 | Trade | → Executing Market Order to Buy 14 XAUUSD (SL: 7.56, TP: 19.79) SUCCEEDED, Position PID19
15/01/2026 18:20:00.207 | Info | MA Cross: bartime=2026-01-15 18:00, executed=2026-01-15 18:20:00, market Buy placed; SL=7.560322084417049 pips, TP=19.792923217003832 pips.
