bartime,open,high,low,close,volume
2025-01-01 22:45:00,19987.2,20021.3,19987.2,19996.3,978.0
2025-01-01 23:30:00,19996.8,20000.4,19952.8,19957.1,1768.0
2025-01-02 00:15:00,19957.3,19964.2,19914.8,19956.6,2738.0
2025-01-02 01:00:00,19957.7,20017.0,19646.2,19726.2,6481.0
2025-01-02 01:45:00,19728.7,19728.7,19458.2,19546.2,8514.0
2025-01-02 02:30:00,19546.7,19780.2,19518.7,19685.2,7898.0
2025-01-02 03:15:00,19685.7,19729.7,19663.2,19696.2,4076.0
2025-01-02 04:00:00,19675.7,19689.3,19668.8,19688.6,957.0
2025-01-02 04:45:00,19688.8,19738.7,19632.7,19659.7,4383.0
2025-01-02 05:30:00,19658.2,19672.7,19549.2,19555.7,6358.0
2025-01-02 06:15:00,19556.7,19611.2,19499.2,19551.7,6806.0
2025-01-02 07:00:00,19552.2,19567.7,19532.7,19559.2,3061.0
2025-01-02 07:45:00,19560.2,19562.7,19503.2,19531.7,4217.0
2025-01-02 08:30:00,19523.7,19557.1,19514.8,19555.8,4250.0
2025-01-02 09:15:00,19555.6,19566.2,19528.7,19547.2,2063.0
2025-01-02 10:00:00,19547.7,19553.7,19496.2,19505.2,1615.0
2025-01-02 10:45:00,19505.7,19508.2,19462.7,19491.7,1456.0
2025-01-02 11:30:00,19492.2,19544.7,19487.7,19536.7,1372.0
2025-01-02 12:15:00,19537.2,19548.7,19526.2,19546.2,1271.0
2025-01-02 13:00:00,19547.2,19560.2,19525.2,19557.2,1717.0
2025-01-02 13:45:00,19556.7,19584.7,19538.7,19571.2,1850.0
2025-01-02 14:30:00,19573.2,19618.7,19556.2,19569.2,5275.0
2025-01-02 15:15:00,19569.7,19627.7,19553.7,19601.2,4622.0
2025-01-02 16:00:00,19602.2,19605.2,19543.7,19588.2,4121.0
2025-01-02 16:45:00,19587.7,19598.7,19547.7,19548.2,2933.0
2025-01-02 17:30:00,19547.7,19555.2,19514.7,19525.7,4301.0
2025-01-02 18:15:00,19525.2,19536.2,19498.2,19502.6,3055.0
2025-01-02 19:00:00,19502.5,19509.3,19484.3,19496.2,4549.0
2025-01-02 19:45:00,19496.4,19536.8,19489.7,19518.0,4520.0
2025-01-02 20:30:00,19518.1,19527.0,19491.9,19524.5,4282.0
2025-01-02 21:15:00,19523.9,19532.5,19520.0,19522.0,948.0
2025-01-02 22:45:00,19520.4,19523.8,19507.4,19511.1,666.0
2025-01-02 23:30:00,19511.6,19535.6,19502.0,19533.6,816.0
2025-01-03 00:15:00,19533.1,19553.9,19530.8,19542.1,993.0
2025-01-03 01:00:00,19541.8,19661.7,19540.0,19603.7,4740.0
2025-01-03 01:45:00,19602.7,19818.2,19564.2,19797.7,8457.0
2025-01-03 02:30:00,19796.7,19846.7,19712.2,19837.7,7213.0
2025-01-03 03:15:00,19838.2,19844.7,19727.7,19741.7,4683.0
2025-01-03 04:00:00,19725.8,19729.6,19712.3,19715.3,318.0
2025-01-03 04:45:00,19714.8,19736.7,19633.5,19665.5,4752.0
2025-01-03 05:30:00,19666.0,19708.5,19596.5,19608.5,6582.0
2025-01-03 06:15:00,19608.0,19670.5,19585.5,19649.5,6990.0
2025-01-03 07:00:00,19648.5,19667.0,19614.0,19653.5,3183.0
2025-01-03 07:45:00,19653.0,19719.5,19643.5,19669.5,3535.0
2025-01-03 08:30:00,19663.0,19685.4,19653.0,19684.6,2220.0
2025-01-03 09:15:00,19684.1,19708.5,19663.5,19666.0,1456.0
2025-01-03 10:00:00,19665.5,19676.0,19640.5,19667.0,1221.0
2025-01-03 10:45:00,19665.5,19689.5,19654.5,19687.5,837.0
2025-01-03 11:30:00,19686.0,19696.5,19674.0,19678.0,1003.0
2025-01-03 12:15:00,19678.5,19694.5,19674.0,19676.0,993.0
2025-01-03 13:00:00,19675.5,19695.5,19671.0,19693.5,1169.0
2025-01-03 13:45:00,19694.0,19726.0,19689.5,19719.5,1553.0
2025-01-03 14:30:00,19720.0,19750.0,19687.5,19697.5,4599.0
2025-01-03 15:15:00,19697.0,19724.0,19668.5,19724.0,3239.0
2025-01-03 16:00:00,19723.5,19739.5,19707.5,19736.5,2625.0
2025-01-03 16:45:00,19737.0,19751.0,19726.0,19728.5,1833.0
2025-01-03 17:30:00,19729.0,19744.0,19724.5,19743.0,1615.0
2025-01-03 18:15:00,19743.5,19754.5,19727.5,19735.0,1213.0
2025-01-03 19:00:00,19734.6,19769.3,19733.8,19767.9,1360.0
2025-01-03 19:45:00,19767.8,19775.4,19754.1,19773.5,1443.0
2025-01-03 20:30:00,19773.3,19780.2,19727.4,19732.8,1912.0
2025-01-03 21:15:00,19731.1,19735.1,19729.7,19734.5,333.0
2025-01-05 23:00:00,19746.4,19789.4,19742.6,19786.6,893.0
2025-01-05 23:45:00,19786.9,19795.2,19762.2,19764.0,1353.0
2025-01-06 00:30:00,19763.7,19764.3,19733.8,19736.8,1058.0
2025-01-06 01:15:00,19738.2,19842.7,19610.2,19627.2,7910.0
2025-01-06 02:00:00,19627.7,19784.7,19597.7,19730.6,8066.0
2025-01-06 02:45:00,19729.6,19768.6,19679.6,19692.1,6398.0
2025-01-06 03:30:00,19691.6,19698.6,19652.6,19654.3,1815.0
2025-01-06 04:15:00,19654.0,19665.4,19652.2,19662.5,275.0
2025-01-06 05:00:00,19668.1,19673.6,19606.1,19606.1,5305.0
2025-01-06 05:45:00,19605.6,19658.1,19584.1,19622.1,5315.0
2025-01-06 06:30:00,19622.6,19660.6,19595.6,19652.6,4090.0
2025-01-06 07:15:00,19652.1,19663.1,19614.6,19640.6,2162.0
2025-01-06 08:00:00,19643.6,19694.6,19629.6,19641.0,2584.0
2025-01-06 08:45:00,19641.2,19700.1,19640.2,19683.6,1596.0
2025-01-06 09:30:00,19683.1,19693.1,19665.6,19666.6,894.0
2025-01-06 10:15:00,19666.1,19675.6,19643.1,19645.1,1003.0
2025-01-06 11:00:00,19644.1,20071.6,19635.6,20009.1,4849.0
2025-01-06 11:45:00,20006.6,20047.6,19984.6,20008.1,3101.0
2025-01-06 12:30:00,20006.1,20096.6,19996.1,20054.6,2808.0
2025-01-06 13:15:00,20055.1,20107.6,20045.6,20073.1,2390.0
2025-01-06 14:00:00,20075.6,20105.6,19787.1,19846.1,5191.0
2025-01-06 14:45:00,19846.6,19929.6,19846.6,19900.1,4023.0
2025-01-06 15:30:00,19899.6,19904.6,19693.6,19737.6,4701.0
2025-01-06 16:15:00,19737.1,19738.1,19692.1,19724.6,2722.0
2025-01-06 17:00:00,19724.1,19724.1,19581.6,19581.6,2072.0
2025-01-06 17:45:00,19581.1,19607.1,19551.6,19602.1,2492.0
2025-01-06 18:30:00,19601.6,19618.9,19568.4,19617.3,2633.0
2025-01-06 19:15:00,19617.2,19617.2,19578.1,19578.7,3081.0
2025-01-06 20:00:00,19578.4,19589.4,19558.8,19571.1,2773.0
2025-01-06 20:45:00,19571.0,19583.5,19546.0,19580.0,2176.0
2025-01-06 21:30:00,19580.2,19586.0,19579.9,19584.9,259.0
2025-01-06 22:45:00,19590.1,19602.0,19588.3,19598.6,603.0
2025-01-06 23:30:00,19597.8,19603.3,19588.4,19592.2,830.0
2025-01-07 00:15:00,19592.4,19628.8,19587.8,19589.6,664.0
2025-01-07 01:00:00,19589.1,19604.2,19453.2,19538.2,5215.0
2025-01-07 01:45:00,19542.2,19628.7,19511.7,19514.2,7792.0
2025-01-07 02:30:00,19514.7,19515.2,19248.2,19302.2,7494.0
2025-01-07 03:15:00,19302.7,19313.2,19237.2,19266.2,4550.0
2025-01-07 04:00:00,19243.0,19262.7,19242.0,19262.2,577.0
2025-01-07 04:45:00,19262.0,19285.2,19206.2,19272.2,4718.0
2025-01-07 05:30:00,19271.7,19319.7,19263.2,19281.7,6111.0
2025-01-07 06:15:00,19282.2,19338.2,19278.2,19304.2,5305.0
2025-01-07 07:00:00,19306.2,19422.2,19303.2,19370.7,3578.0
2025-01-07 07:45:00,19371.2,19447.2,19371.2,19419.2,3966.0
2025-01-07 08:30:00,19399.7,19438.4,19396.1,19428.7,1634.0
2025-01-07 09:15:00,19428.9,19466.2,19423.7,19435.2,1758.0
2025-01-07 10:00:00,19435.7,19492.7,19430.2,19461.7,1358.0
2025-01-07 10:45:00,19461.2,19481.2,19430.2,19431.7,1223.0
2025-01-07 11:30:00,19432.2,19447.2,19413.2,19431.7,1290.0
2025-01-07 12:15:00,19431.2,19457.7,19430.2,19452.7,987.0
2025-01-07 13:00:00,19452.2,19475.7,19443.7,19450.7,1317.0
2025-01-07 13:45:00,19451.2,19473.7,19442.2,19458.7,1291.0
2025-01-07 14:30:00,19460.2,19510.2,19408.7,19425.7,5147.0
2025-01-07 15:15:00,19425.2,19482.7,19410.7,19430.2,4902.0
2025-01-07 16:00:00,19429.7,19448.7,19413.7,19421.7,4091.0
2025-01-07 16:45:00,19420.2,19437.2,19398.2,19404.2,3002.0
2025-01-07 17:30:00,19404.7,19419.7,19387.7,19406.2,2234.0
2025-01-07 18:15:00,19405.7,19412.2,19364.5,19364.7,1513.0
2025-01-07 19:00:00,19364.6,19380.2,19353.8,19363.4,2627.0
2025-01-07 19:45:00,19363.2,19364.6,19282.5,19287.3,3020.0
2025-01-07 20:30:00,19287.4,19330.4,19269.3,19326.6,3444.0
2025-01-07 21:15:00,19327.1,19329.3,19318.8,19321.8,532.0
2025-01-07 22:45:00,19332.2,19332.7,19316.6,19328.5,596.0
2025-01-07 23:30:00,19328.7,19348.1,19327.4,19347.0,807.0
2025-01-08 00:15:00,19346.5,19354.9,19345.0,19351.2,664.0
2025-01-08 01:00:00,19351.4,19450.7,19338.2,19375.7,4654.0
2025-01-08 01:45:00,19378.2,19378.2,19263.7,19284.7,8007.0
2025-01-08 02:30:00,19284.2,19295.2,19174.2,19178.2,6527.0
2025-01-08 03:15:00,19178.7,19192.2,19071.7,19094.7,4904.0
2025-01-08 04:00:00,19083.7,19096.4,19083.5,19089.8,414.0
2025-01-08 04:45:00,19090.1,19171.7,19084.2,19156.7,4831.0
2025-01-08 05:30:00,19156.2,19307.2,19147.7,19269.2,7631.0
2025-01-08 06:15:00,19269.7,19284.2,19193.2,19213.2,6289.0
2025-01-08 07:00:00,19212.7,19259.2,19212.7,19241.7,2942.0
2025-01-08 07:45:00,19242.2,19252.2,19221.7,19232.7,3263.0
2025-01-08 08:30:00,19224.3,19244.3,19220.8,19233.1,1813.0
2025-01-08 09:15:00,19233.3,19289.2,19233.3,19277.7,1631.0
2025-01-08 10:00:00,19278.2,19284.2,19257.2,19270.2,1091.0
2025-01-08 10:45:00,19269.7,19271.7,19202.7,19207.2,1461.0
2025-01-08 11:30:00,19207.7,19212.2,19049.2,19122.2,3886.0
2025-01-08 12:15:00,19122.7,19129.2,19078.7,19091.7,2527.0
2025-01-08 13:00:00,19092.2,19141.2,19092.2,19115.7,2761.0
2025-01-08 13:45:00,19116.2,19159.2,19110.2,19135.7,1941.0
2025-01-08 14:30:00,19136.2,19196.7,19088.7,19166.2,5112.0
2025-01-08 15:15:00,19166.7,19196.7,19143.2,19196.2,3361.0
2025-01-08 16:00:00,19195.7,19224.7,19166.2,19216.7,2599.0
2025-01-08 16:45:00,19218.2,19230.7,19174.7,19176.2,2349.0
2025-01-08 17:30:00,19176.7,19212.2,19168.7,19189.7,2652.0
2025-01-08 18:15:00,19189.2,19219.2,19180.2,19181.1,1884.0
2025-01-08 19:00:00,19181.4,19219.5,19174.9,19199.8,4740.0
2025-01-08 19:45:00,19199.7,19222.0,19190.2,19220.8,3581.0
2025-01-08 20:30:00,19220.6,19241.4,19217.7,19225.4,2670.0
2025-01-08 21:15:00,19226.0,19233.1,19201.3,19208.0,962.0
2025-01-08 22:45:00,19222.5,19226.0,19215.7,19223.6,402.0
2025-01-08 23:30:00,19223.3,19224.4,19183.7,19188.0,821.0
2025-01-09 00:15:00,19188.2,19197.8,19176.1,19192.8,998.0
2025-01-09 01:00:00,19192.0,19287.3,19188.8,19269.8,4241.0
2025-01-09 01:45:00,19270.3,19386.3,19227.3,19295.3,7940.0
2025-01-09 02:30:00,19294.3,19356.8,19270.3,19342.8,5801.0
2025-01-09 03:15:00,19343.8,19349.3,19257.3,19268.0,3459.0
2025-01-09 04:00:00,19258.0,19265.1,19252.0,19258.4,701.0
2025-01-09 04:45:00,19258.6,19277.4,19239.4,19269.9,3412.0
