bartime,fast_ma,slow_ma,macd_h
2025-01-01 22:45:00,,,0.0
2025-01-01 23:30:00,,,-6.700854700856629
2025-01-02 00:15:00,,,-8.504492658341608
2025-01-02 01:00:00,,,-47.26340632849934
2025-01-02 01:45:00,,,-86.53247637033856
2025-01-02 02:30:00,,,-65.03557067507742
2025-01-02 03:15:00,,,-43.056998234207924
2025-01-02 04:00:00,,,-26.885765361467634
2025-01-02 04:45:00,,,-18.857929862615407
2025-01-02 05:30:00,,,-28.013840924149235
2025-01-02 06:15:00,,,-25.555696480796684
2025-01-02 07:00:00,,,-16.505740882070995
2025-01-02 07:45:00,19700.8,,-11.90823458965724
2025-01-02 08:30:00,19666.915384615386,,-0.8830952979651272
2025-01-02 09:15:00,19635.384615384617,,5.594882551884496
2025-01-02 10:00:00,19600.66153846154,,3.5088924085103486
2025-01-02 10:45:00,19582.62307692308,,3.054376422008062
2025-01-02 11:30:00,19581.89230769231,,13.309118169504615
2025-01-02 12:15:00,19571.2,,20.285267125164665
2025-01-02 13:00:00,19560.507692307692,,24.985755795530963
2025-01-02 13:45:00,19551.476923076923,,28.36893030448232
2025-01-02 14:30:00,19544.515384615384,,27.74258364501611
2025-01-02 15:15:00,19548.015384615384,,31.13716257086071
2025-01-02 16:00:00,19550.82307692308,,27.72968528974222
2025-01-02 16:45:00,19549.976923076923,,17.174333910802602
2025-01-02 17:30:00,19549.515384615384,,8.06486870994506
2025-01-02 18:15:00,19545.423076923078,,0.7006904856046106
2025-01-02 19:00:00,19541.5,,-2.0287517199235197
2025-01-02 19:45:00,19542.484615384616,,2.3776744345241525
2025-01-02 20:30:00,19545.007692307692,,6.435679753233998
2025-01-02 21:15:00,19543.876923076925,,8.16765113786542
2025-01-02 22:45:00,19541.17692307692,,7.187991808722117
2025-01-02 23:30:00,19539.36153846154,,10.886178142185372
2025-01-03 00:15:00,19537.12307692308,19600.123529411765,13.479930680728863
2025-01-03 01:00:00,19539.776923076923,19588.576470588236,24.205422142413738
2025-01-03 01:45:00,19554.89230769231,19583.888235294115,59.13420156410003
2025-01-03 02:30:00,19574.084615384614,19580.391176470588,72.08720637336575
2025-01-03 03:15:00,19588.96923076923,19580.847058823532,50.2784550328311
2025-01-03 04:00:00,19603.553846153845,19585.820588235296,28.84496884242892
2025-01-03 04:45:00,19616.084615384614,19585.24117647059,6.433166614429879
2025-01-03 05:30:00,19624.723076923077,19582.66176470588,-14.409333891716713
2025-01-03 06:15:00,19634.838461538464,19581.511764705883,-14.704327345341483
2025-01-03 07:00:00,19644.761538461542,19581.32941176471,-12.725820332486407
2025-01-03 07:45:00,19656.107692307694,19584.676470588234,-7.942020811041736
2025-01-03 08:30:00,19669.453846153847,19588.58529411765,-2.788379671148732
2025-01-03 09:15:00,19679.63846153846,19591.726470588237,-3.9686797451130005
2025-01-03 10:00:00,19689.246153846154,19595.70588235294,-4.191675522174798
2025-01-03 10:45:00,19695.69230769231,19599.57941176471,-0.6203703592104723
2025-01-03 11:30:00,19686.484615384616,19603.426470588234,-1.1342393183801143
2025-01-03 12:15:00,19674.046153846153,19608.45,-1.9576667924045736
2025-01-03 13:00:00,19670.33846153846,19614.385294117645,0.5616162048319424
2025-01-03 13:45:00,19670.661538461536,19619.761764705883,5.534409248757669
2025-01-03 14:30:00,19673.123076923075,19624.211764705884,2.5387970896554712
2025-01-03 15:15:00,19682.007692307692,19629.117647058825,4.978254673030008
2025-01-03 16:00:00,19688.699999999997,19633.979411764707,6.8573217781854225
2025-01-03 16:45:00,19694.469230769228,19638.66470588235,4.6705751609457735
2025-01-03 17:30:00,19700.123076923075,19642.83529411765,4.939769215987106
2025-01-03 18:15:00,19704.0,19647.15294117647,2.2890409130654916
2025-01-03 19:00:00,19711.838461538464,19653.614705882355,5.797432841373237
2025-01-03 19:45:00,19720.030769230772,19660.90294117647,6.606659602817871
2025-01-03 20:30:00,19723.515384615384,19667.673529411764,-1.7800404952017956
2025-01-03 21:15:00,19727.86153846154,19674.682352941174,-5.457770910251398
2025-01-05 23:00:00,19736.369230769233,19682.582352941175,1.9927869887887795
2025-01-05 23:45:00,19741.79230769231,19689.626470588235,0.13997367247913672
2025-01-06 00:30:00,19743.12307692308,19695.944117647057,-6.047916273168497
2025-01-06 01:15:00,19737.715384615385,19699.358823529412,-27.14898256803551
2025-01-06 02:00:00,19738.223076923077,19705.15294117647,-14.660009163598549
2025-01-06 02:45:00,19734.80769230769,19709.564705882356,-14.336254845874961
2025-01-06 03:30:00,19729.100000000002,19711.05294117647,-18.80821065394627
2025-01-06 04:15:00,19722.907692307694,19707.076470588236,-16.573864125665065
2025-01-06 05:00:00,19712.992307692308,19700.264705882353,-22.813940800035347
2025-01-06 05:45:00,19701.776923076923,19696.74705882353,-19.05296678605383
2025-01-06 06:30:00,19692.476923076923,19694.902941176468,-9.093985579003316
2025-01-06 07:15:00,19685.384615384617,19694.17058823529,-5.2264945400998855
2025-01-06 08:00:00,19678.19230769231,19695.126470588235,-2.255690519935399
2025-01-06 08:45:00,19670.269230769227,19696.129411764705,7.148541237644132
2025-01-06 09:30:00,19662.776923076923,19696.514705882353,7.576568296757593
2025-01-06 10:15:00,19655.723076923077,19695.79705882353,3.4258701094755963
2025-01-06 11:00:00,19685.1,19705.34117647059,63.86796839439597
2025-01-06 11:45:00,19706.446153846155,19715.402941176468,79.08844780262761
