"RunNumber","Success","FailureReason","Parameters","OutputDir","NetProfit","ROI","ProfitFactor","TotalTrades","MaxEquityDrawdownPct"
"1","True",,"{""RiskPercent"":0.4,""SignalFilePath"":""Z:\\Desktop\\og_program\\runtime\\exports\\combo_UK100_H4_full_history_signals.csv""}","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\cli_runs\Combo_UK100.cash_h4_20260902-031916","-40.03","-0.4","0","1","0.4099602338573159"
"2","True",,"{""RiskPercent"":0.5,""SignalFilePath"":""Z:\\Desktop\\og_program\\runtime\\exports\\combo_UK100_H4_full_history_signals.csv""}","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\cli_runs\Combo_UK100.cash_h4_20260902-031953","-49.98","-0.5","0","1","0.5118380675938081"
