bartime,side,sl_price
2025-10-30 16:00,BUY,3915.16
2025-10-31 23:30,SELL,4036.06
2025-11-03 12:30,BUY,3962.23
2025-11-04 01:00,SELL,4030.53
2025-11-05 13:30,BUY,3929.35
2025-11-07 00:00,SELL,4019.49
2025-11-07 08:30,BUY,3971.27
2025-11-11 23:00,SELL,4146.53
2025-11-12 17:30,BUY,4098.84
2025-11-14 01:00,SELL,4244.91
2025-11-14 12:30,SELL,4244.91
2025-11-18 20:30,BUY,3997.95
2025-11-20 03:00,SELL,4132.73
2025-11-20 23:30,SELL,4072.73
2025-11-21 08:30,SELL,4107.12
2025-11-21 21:30,BUY,4030.91
2025-11-24 08:30,SELL,4077.62
2025-11-24 17:00,BUY,4039.89
2025-11-27 11:00,SELL,4168.83
2025-11-28 01:30,BUY,4151.37
2025-12-02 06:30,SELL,4244.59
2025-12-03 08:00,BUY,4163.33
2025-12-03 16:00,SELL,4228.88
2025-12-04 22:30,BUY,4185.51
2025-12-06 02:00,SELL,4259.22
2025-12-08 14:30,SELL,4259.22
2025-12-09 17:00,BUY,4169.95
2025-12-10 15:30,SELL,4214.31
2025-12-11 03:00,BUY,4187.68
2025-12-15 23:00,SELL,4350.2
2025-12-16 21:30,BUY,4271.55
2025-12-18 15:30,SELL,4337.63
2025-12-18 22:30,BUY,4328.53
2025-12-19 07:30,SELL,4338.11
2025-12-19 20:00,BUY,4309.32
2025-12-24 21:00,SELL,4499.75
2025-12-26 07:00,BUY,4448.26
2025-12-29 08:00,SELL,4549.92
2025-12-30 18:30,BUY,4350.26
2025-12-30 23:00,SELL,4404.11
2026-01-02 07:30,BUY,4304.46
2026-01-02 23:00,SELL,4402.22
2026-01-05 07:30,BUY,4309.68
2026-01-07 12:30,SELL,4480.22
2026-01-08 23:30,BUY,4407.65
2026-01-13 14:00,SELL,4630.04
2026-01-13 20:00,BUY,4573.52
2026-01-14 07:00,BUY,4569.33
2026-01-15 06:30,SELL,4642.76
2026-01-15 20:00,SELL,4613.5
2026-01-19 06:00,BUY,4536.65
2026-01-22 02:30,SELL,4880.89
2026-01-22 15:00,BUY,4772.11
2026-01-27 04:00,SELL,5105.09
2026-01-27 10:30,BUY,4989.6
2026-01-29 22:30,SELL,5595.25
2026-02-03 07:30,BUY,4618.6
2026-02-04 22:30,SELL,5091.14
2026-02-06 14:00,BUY,4654.83
2026-02-10 23:00,SELL,5062.92
2026-02-11 07:30,BUY,5004.47
2026-02-12 09:00,SELL,5099.99
2026-02-13 21:30,BUY,4933.5
2026-02-16 20:00,SELL,5017.11
2026-02-18 11:00,BUY,4853.87
2026-02-24 13:00,SELL,5191.73
2026-02-25 09:00,BUY,5120.87
2026-02-26 01:00,BUY,5155.05
2026-02-26 16:00,SELL,5205.55
2026-02-27 03:00,BUY,5130.2
2026-02-27 13:00,BUY,5166.7
2026-03-03 00:00,SELL,5419.07
2026-03-03 07:30,BUY,5260.17
2026-03-03 13:30,SELL,5379.8
2026-03-04 16:30,BUY,5118.25
2026-03-04 22:30,SELL,5205.86
2026-03-05 03:30,BUY,5118.25
2026-03-05 15:00,SELL,5180.41
2026-03-06 05:00,BUY,5050.54
2026-03-06 11:00,SELL,5143.78
2026-03-06 17:00,BUY,5062.54
2026-03-09 00:00,SELL,5171.55
2026-03-09 20:00,BUY,5088.96
2026-03-11 10:00,SELL,5210.63
2026-03-12 10:00,BUY,5137.06
2026-03-12 16:00,SELL,5191.56
2026-03-17 02:00,BUY,4973.94
2026-03-17 14:30,SELL,5029.44
2026-03-20 14:00,SELL,4734.73
2026-03-23 22:30,BUY,4350.79
2026-03-24 04:00,SELL,4466.82
2026-03-24 10:00,BUY,4319.6
2026-03-25 22:00,SELL,4568.93
2026-03-27 06:00,BUY,4375.22
2026-03-31 02:00,BUY,4512.16
2026-04-02 04:00,SELL,4799.99
2026-04-06 00:00,SELL,4699.6
2026-04-06 08:00,BUY,4600.61
2026-04-06 20:00,SELL,4706.44
2026-04-07 10:00,BUY,4622.71
2026-04-08 18:00,SELL,4843.7
2026-04-09 14:00,BUY,4703.27
2026-04-10 14:00,BUY,4730.52
2026-04-12 22:00,SELL,4773.04
2026-04-13 20:00,BUY,4700.0
2026-04-15 14:00,BUY,4786.07
2026-04-15 16:00,SELL,4871.19
2026-04-16 02:00,BUY,4786.76
2026-04-16 14:00,SELL,4838.07
2026-04-17 14:00,BUY,4778.46
2026-04-20 00:00,SELL,4890.19
2026-04-20 14:00,BUY,4783.25
2026-04-20 20:00,BUY,4792.5
2026-04-21 06:00,SELL,4833.07
2026-04-22 22:30,SELL,4749.2
